0	0	4.0	1308614400
0	898	5.0	1397692800
0	419	3.0	1403913600
0	773	4.0	1381881600
0	933	4.0	1399507200
0	806	5.0	1379376000
0	749	5.0	1404345600
0	303	4.0	1403913600
0	912	4.0	1392249600
0	944	4.0	1400630400
0	851	5.0	1376956800
0	316	5.0	1404172800
0	797	5.0	1371600000
0	798	5.0	1371600000
1	0	5.0	1402272000
1	421	5.0	1368489600
1	25	5.0	1381276800
1	409	5.0	1381622400
1	187	5.0	1381622400
2	0	4.0	1336176000
2	672	4.0	1339113600
2	800	5.0	1340928000
2	2	5.0	1353715200
2	580	4.0	1322611200
2	571	1.0	1322784000
2	45	5.0	1323043200
2	623	5.0	1362096000
3	0	5.0	1373846400
3	387	5.0	1383177600
3	388	5.0	1383177600
3	312	5.0	1373846400
3	824	5.0	1373846400
3	265	5.0	1372723200
3	190	5.0	1373846400
4	0	5.0	1375660800
4	257	5.0	1369526400
4	441	5.0	1370822400
4	11	5.0	1370131200
4	443	5.0	1370822400
5	0	5.0	1350518400
5	705	5.0	1365465600
5	226	5.0	1365465600
5	578	4.0	1373414400
5	387	5.0	1382572800
5	423	5.0	1382400000
5	585	3.0	1372809600
5	10	4.0	1369612800
5	77	4.0	1369872000
5	143	4.0	1364256000
5	244	4.0	1389139200
5	726	5.0	1367539200
5	407	5.0	1368748800
5	791	5.0	1356652800
5	633	4.0	1368489600
5	572	4.0	1365465600
5	126	3.0	1395792000
6	1	5.0	1314144000
6	257	5.0	1275091200
6	196	5.0	1372896000
6	229	5.0	1340150400
6	869	5.0	1367884800
6	167	4.0	1365206400
6	458	5.0	1272672000
6	906	4.0	1393804800
6	622	5.0	1307232000
6	751	5.0	1367884800
6	501	4.0	1293062400
6	246	5.0	1285286400
6	279	5.0	1297123200
6	127	2.0	1231632000
7	1	5.0	1333152000
7	515	5.0	1353456000
7	421	5.0	1401840000
7	364	5.0	1353283200
7	301	5.0	1324771200
7	366	5.0	1356739200
7	495	5.0	1308268800
7	371	5.0	1376697600
7	20	5.0	1326153600
7	212	4.0	1342742400
7	822	1.0	1365120000
7	663	5.0	1363737600
